localIBGE_id;municipality;state;population;pop_share_above60;gdp_capita;city_exp_health_capita;public_doctors_capita;disease_deaths_capita;death_rate_hospitalization;infant_mortality;sewage_rating;water_service_rating;garbage_service_rating
5003256;Costa Rica;MS;20496;0,101466366;73,5132;1286,259514;2,927400468;5,12295082;0,036779191;4,12371134;7,708688893;7,55690155;7,361204013
5003306;Coxim;MS;33516;0,117941753;25,20448;1008,993933;1,19345984;5,698770736;0,028947684;7,220216606;4;6,22395528;1,85
5003488;Dois Irmaos do Buriti;MS;11239;0,102143183;16,77972;852,7594261;3,559035501;5,872408577;0,041577645;15,15151515;;4,168823063;1,85
5003504;Douradina;MS;5889;0,118335955;20,58953;1013,40945;3,396162337;4,075394804;0,031930673;31,25;;5,111449648;3,487303833
5003702;Dourados;MS;220965;0,099681961;38,18703;1047,216595;1,810241441;5,073201638;0,051789463;8,074382187;6,25849024;6,254202331;7,062949871
5003751;Eldorado;MS;12305;0,106374206;28,93459;815,0838586;2,43803332;6,257618854;0,021171661;16,94915254;4;6,031604473;5,018542727
5003801;Fatima do Sul;MS;19234;0,169961502;24,53561;716,5281013;3,119475928;8,37059374;0,0391934;6,309148265;4;6,08496361;1,85
5003900;Figueirao;MS;3044;0,119482244;31,87719;1928,006449;3,285151117;1,314060447;0,02405165;0;;4,273635407;4,55
5004007;Gloria de Dourados;MS;9981;0,145201641;19,07591;750,5802274;6,011421701;7,614467488;0,040387727;16,52892562;;2,5;1,85
5004106;Guia Lopes da Laguna;MS;9968;0,156502862;23,37289;704,3974448;3,009630819;7,825040128;0,028844598;21,89781022;4;6,211924841;6,884684382
5004304;Iguatemi;MS;15977;0,108070086;24,15387;875,6566452;2,503598923;5,946047443;0,031086256;27,45098039;4;5,513800697;4,892719321
5004403;Inocencia;MS;7625;0,137841013;34,41322;1283,85267;7,868852459;4,06557377;0,027031294;9,615384615;4;6,105633368;4,751389246
5004502;Itapora;MS;23886;0,098095737;27,56122;445,2310646;2,930586955;5,065728879;0,055267823;4,716981132;4;5,89283804;1,85
5004601;Itaquirai;MS;20905;0,097847649;29,78396;616,1741928;2,870126764;4,2573547;0,030381973;7,299270073;;4,168540289;3,186167147
5004700;Ivinhema;MS;23140;0,134757959;47,4023;1026,932241;2,592912705;6,266205704;0,030360363;15,0862069;;5,497293069;7,132299812
5004809;Japora;MS;8976;0,071995333;14,00864;608,2861943;3,342245989;5,347593583;0,023009133;31,91489362;;4,493700132;3,05
5004908;Jaraguari;MS;7108;0,163071991;27,3163;695,2994598;4,220596511;3,235790658;0,065448733;0;;4,65453597;3,2
5005004;Jardim;MS;25967;0,122291143;20,5092;766,1382378;3,465937536;6,161666731;0,026103739;9,501187648;4;7,728222501;7,109052959
5005103;Jatei;MS;4034;0,104950495;67,20067;2068,492355;4,957858205;3,222607833;0,011937421;14,92537313;8,20784246;5,310806004;3,850360175
5005152;Juti;MS;6638;0,1215625;38,29247;1233,500807;6,025911419;9,038867129;0,04358192;19,60784314;4;5,387055018;3,730885001
5005202;Ladario;MS;22968;0,084191261;13,04787;405,288177;3,047718565;4,179728318;0,04385071;17,32673267;4;6,4;5,037702598
5005251;Laguna Carapa;MS;7267;0,099601026;59,57758;1184,946239;4,128250998;3,027384065;0,031232557;0;;4,39920175;3,187896254
5005400;Maracaju;MS;45932;0,073075048;53,03752;820,8360219;2,177131412;4,419576766;0,038004982;6,418485237;4;5,844456732;4,78945202
5005608;Miranda;MS;27795;0,098317716;18,19548;612,3389498;1,798884691;5,54056485;0,046004253;11,69590643;4,295042322;4,698800867;1,85
5005681;Mundo Novo;MS;18256;0,138575103;25,59435;638,7966619;3,28659071;6,792287467;0,013877821;6,779661017;;6,180659978;1,85
5005707;Navirai;MS;54051;0,087024856;27,83829;879,8625352;1,665094078;4,847273871;0,036209744;10,80432173;4;6,321372677;7,823919308
5005806;Nioaque;MS;14085;0,109619844;17,97179;770,4322812;3,549875754;4,969826056;0,040303595;23,66863905;4;4,382373271;3,55
5006002;Nova Alvorada do Sul;MS;21300;0,060703201;69,04115;864,4349554;2,34741784;3,568075117;0,042081414;14,04494382;;5,323734648;4,492435807
5006200;Nova Andradina;MS;53517;0,098308149;38,15419;797,4248547;1,868565129;4,839583684;0,032353974;8,928571429;4;6,285405966;7,087467767
5006259;Novo Horizonte do Sul;MS;3947;0,135687732;45,97457;1491,959382;5,0671396;6,08056752;0,030588604;0;;4,973047658;3,8
5006275;Paraiso das aguas;MS;5455;0,082540299;115,49852;1383,505866;5,499541705;2,199816682;0,015032281;0;;6,830965432;4,945111652
5006309;Paranaiba;MS;42010;0,141276842;28,55438;959,8600781;2,856462747;7,093549155;0,060498532;8,503401361;5,214579375;7,325541077;5,47978153
5006358;Paranhos;MS;14048;0,073821524;11,5242;786,8632973;2,135535308;3,915148064;0,019574102;23,1884058;4,679771981;4,14036061;1,85
5006408;Pedro Gomes;MS;7666;0,134864622;26,86685;866,1592447;2,608922515;5,478737282;0,016211444;0;4;5,761342375;1,85
5006606;Ponta Pora;MS;91082;0,093190336;29,48492;459,9032128;2,086032366;5,566412683;0,039274268;9,968847352;4,891207462;5,623886875;5,799099184
5006903;Porto Murtinho;MS;17078;0,080118694;19,0371;759,3369007;2,342194636;4,86005387;0,035932387;12,39669421;8,143997236;5,086350222;5,833910934
5007109;Ribas do Rio Pardo;MS;24258;0,06750982;40,49038;893,0447337;2,061175695;3,339104625;0,038888661;14,36781609;4,558714804;5,069385046;4,11691028
5007208;Rio Brilhante;MS;36830;0,074905829;57,46237;856,6447502;2,715177844;4,289980994;0,048751245;16,89708141;4;5,54586674;5,344383161
5007307;Rio Negro;MS;4819;0,160863368;18,11534;883,0398485;4,150238639;7,47042955;0,038493832;20,40816327;;5,573929787;4,019848212
5007406;Rio Verde de Mato Grosso;MS;19682;0,134388164;22,80935;1037,958201;3,556549131;5,995325678;0,031565721;10,34482759;4;6,089112483;6,543938475
5007505;Rochedo;MS;5403;0,140708302;32,95757;1043,52801;3,701647233;3,886729595;0,048155679;0;;2,5;1,85
5007554;Santa Rita do Pardo;MS;7801;0,098139413;57,10412;946,4912627;2,563773875;3,461094731;0,025672393;0;4;4,12291881;3,55
5007695;Sao Gabriel do Oeste;MS;26363;0,080581242;54,54327;1793,703443;4,172514509;3,906990858;0,024518142;10,23890785;7,602556573;6,825900934;6,012985547
5007703;Sete Quedas;MS;10812;0,134865688;19,17742;808,5214706;2,774694784;5,734369219;0,010076192;31,44654088;;7,107547492;1,85
5007802;Selviria;MS;6515;0,112401301;271,0947;1493,848127;4,60475825;6,907137375;0,043917303;21,50537634;;5,70198507;5,364466801
